column,unit,type,description
year,,,
month,,,
day,,,
latitude,,,
longitude,,,
coordinate_error,,,
depth,,,
depth_error,,,
institution_code,,,
collection_code,,,
catalog_number,,,
dataset_name,,,
dataset_id,,,
country_code,,,
accepted_name,,,
aphia_id,,,
class,,,
order,,,
infraorder,,,
family,,,
genus,,,
subgenus,,,
species,,,
subspecies,,,
taxonomic_status,,,
taxon_rank,,,
type,,,
authorship,,,
osource,,,
id,,,
flag_year,,,
flag_month,,,
flag_day,,,
flag_coordinate,,,
flag_outlier,,,
flag_coord_uncertainty,,,
flag_depth,,,
flag_realm,,,
occ_id,,,
